epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
154,1010.35,0.98093,0.47706,0.89391,0.92293,0.88873,0.93935,0.56953,1.13465,0.49207,0.92683,0.0084853,0.0084853,0.0084853
155,1016.8,1.00272,0.48418,0.88301,0.91441,0.88178,0.93369,0.56918,1.12003,0.49955,0.92677,0.0084754,0.0084754,0.0084754
156,1023.22,0.9785,0.48007,0.8918,0.89602,0.91655,0.94482,0.58008,1.10995,0.48213,0.92249,0.0084655,0.0084655,0.0084655
157,1029.68,0.96784,0.48015,0.87449,0.88086,0.91377,0.94021,0.57689,1.13882,0.48447,0.92994,0.0084556,0.0084556,0.0084556
158,1036.12,0.95875,0.47194,0.8984,0.91164,0.89708,0.93834,0.56926,1.1503,0.49405,0.92431,0.0084457,0.0084457,0.0084457
159,1042.55,0.97771,0.46862,0.88966,0.91804,0.88734,0.93023,0.56701,1.1256,0.49669,0.92086,0.0084358,0.0084358,0.0084358
160,1048.96,0.94488,0.46048,0.88218,0.91829,0.88734,0.93626,0.56326,1.12393,0.4983,0.91935,0.0084259,0.0084259,0.0084259
161,1055.36,0.96188,0.45865,0.8875,0.93205,0.87763,0.93947,0.57842,1.11867,0.48369,0.91971,0.008416,0.008416,0.008416
162,1061.83,0.95954,0.4667,0.88555,0.91564,0.89071,0.94485,0.57398,1.14123,0.48717,0.92368,0.0084061,0.0084061,0.0084061
163,1068.3,0.95983,0.47519,0.88156,0.90233,0.89291,0.93916,0.5742,1.11332,0.4774,0.92194,0.0083962,0.0083962,0.0083962
164,1074.73,0.96678,0.47127,0.8881,0.91645,0.89847,0.94042,0.56892,1.14934,0.48141,0.93237,0.0083863,0.0083863,0.0083863
165,1081.14,0.97886,0.47334,0.89024,0.90672,0.90578,0.94242,0.58577,1.12515,0.47643,0.92479,0.0083764,0.0083764,0.0083764
166,1087.66,0.94147,0.45733,0.88949,0.90166,0.91818,0.94487,0.57855,1.10591,0.46687,0.92163,0.0083665,0.0083665,0.0083665
167,1094.14,0.9441,0.45828,0.87339,0.9214,0.87344,0.92768,0.56114,1.1366,0.49127,0.92981,0.0083566,0.0083566,0.0083566
